region,week,holiday_flag,holiday_name,weather_condition,temperature,economic_index
Africa,2012-04-30,0,None,Rainy,25,0.6708454660334944
Africa,2012-05-28,0,None,Hot,15,0.681985204005353
Africa,2012-06-25,0,None,Storm,39,0.8978777270748289
Africa,2012-07-30,0,None,Hot,28,0.8125644613138431
Africa,2012-08-27,0,None,Storm,21,1.2393194423150247
Africa,2012-10-01,1,None,Sunny,3,0.9578091109423952
Africa,2012-10-29,0,None,Hot,15,1.3907336763087303
Africa,2012-11-26,0,None,Rainy,12,1.339323115540251
Africa,2012-01-02,0,None,Sunny,2,0.8846848996989224
Africa,2012-04-02,0,None,Sunny,7,0.7653737609393673
Africa,2012-07-02,0,None,Cold,29,0.5767253643197944
Africa,2012-09-03,0,None,Hot,11,1.4219496732138137
Africa,2012-12-03,0,None,Rainy,12,1.1025979387756006
Africa,2012-06-04,0,None,Rainy,27,1.4272883391870632
Africa,2012-03-05,0,None,Cold,35,0.807735622142339
Africa,2012-11-05,0,None,Cold,36,0.9280931253960866
Africa,2012-02-06,0,None,Hot,26,0.8269384072237805
Africa,2012-08-06,0,None,Storm,24,0.9500274282275888
Africa,2012-05-07,0,None,Sunny,24,0.8462504595815405
Africa,2012-10-08,0,None,Storm,25,0.6830170917059663
Africa,2012-01-09,0,None,Hot,24,1.2741398489126667
Africa,2012-04-09,1,None,Storm,15,0.5433479241907441
Africa,2012-07-09,0,None,Cold,35,1.3641636662202319
Africa,2012-09-10,1,Independence Day,Storm,4,0.7456479044542695
Africa,2012-12-10,0,None,Sunny,34,1.0185400953106494
Africa,2012-06-11,0,None,Cold,13,1.0923073255661653
Africa,2012-03-12,0,None,Cold,21,1.496236581058712
Africa,2012-11-12,0,None,Rainy,25,1.0769014923036249
Africa,2012-12-31,0,None,Sunny,9,0.9619965930281837
Africa,2013-01-28,1,Independence Day,Rainy,24,1.161618003519429
Africa,2013-02-25,1,Christmas,Cold,7,0.9493212691289782
Africa,2013-04-01,0,None,Hot,37,1.1282401980563965
Africa,2013-04-29,0,None,Rainy,27,0.6474301686815995
Africa,2013-05-27,0,None,Rainy,28,0.6764102761034556
Africa,2013-07-01,1,Labor Day,Hot,36,0.6450370388970521
Africa,2013-07-29,0,None,Storm,8,0.8808510666801739
Africa,2013-08-26,0,None,Cold,1,1.425349318563525
Africa,2013-09-30,0,None,Storm,15,1.079744670898128
Africa,2013-10-28,0,None,Rainy,37,1.1382835718220845
Africa,2013-11-25,0,None,Storm,11,0.9639623088978917
Africa,2013-09-02,0,None,Sunny,37,1.0468538261450067
Africa,2013-12-02,0,None,Storm,12,1.0773220796953709
Africa,2013-06-03,0,None,Rainy,22,1.3679789746712547
Africa,2013-02-04,1,Independence Day,Cold,35,0.7429070050916271
Africa,2013-03-04,0,None,Cold,32,0.7236688703966525
Africa,2013-11-04,0,None,Rainy,21,0.6303112272487399
Africa,2013-08-05,0,None,Storm,28,1.01252323072625
Africa,2013-05-06,0,None,Rainy,10,0.5877593344853649
Africa,2013-01-07,0,None,Hot,20,1.3676925508701638
Africa,2013-10-07,0,None,Sunny,17,1.3794255632424073
Africa,2013-04-08,0,None,Sunny,18,1.2473197503480886
Africa,2013-07-08,0,None,Cold,34,1.126213466682622
Africa,2013-09-09,0,None,Storm,19,1.1128026541900988
Africa,2013-12-09,0,None,Storm,26,1.0501201665642705
Africa,2013-06-10,1,Independence Day,Hot,32,0.760087584611523
Africa,2013-02-11,0,None,Storm,28,1.2134015962056304
Africa,2013-11-11,0,None,Cold,16,0.6680965424051495
Africa,2013-03-11,0,None,Rainy,36,1.0816981964395835
Africa,2013-08-12,0,None,Hot,10,1.2998017067975844
Africa,2013-12-30,0,None,Storm,25,1.2499248964030083
Africa,2014-01-27,0,None,Sunny,10,1.3274373938358006
Africa,2014-02-24,0,None,Cold,14,1.2040308005146416
Africa,2014-03-31,0,None,Cold,21,0.5623393441082066
Africa,2014-04-28,1,Independence Day,Storm,15,0.8442658712833968
Africa,2014-05-26,0,None,Storm,11,1.4360485681798554
Africa,2014-06-30,0,None,Storm,3,0.7244599333563659
Africa,2014-07-28,0,None,Storm,19,1.0092347868653737
Africa,2014-09-01,0,None,Hot,13,1.3170178353370903
Africa,2014-09-29,0,None,Rainy,12,1.2865932652567054
Africa,2014-10-27,0,None,Hot,24,0.6559072763672079
Africa,2014-12-01,0,None,Sunny,19,1.0062100728215086
Africa,2014-06-02,0,None,Hot,24,0.951993983902676
Africa,2014-02-03,1,Christmas,Storm,10,1.362477260002785
Africa,2014-03-03,0,None,Cold,11,1.0645378131626542
Africa,2014-11-03,0,None,Sunny,16,0.7826045272082164
Africa,2014-08-04,1,None,Sunny,26,0.8567499955590763
Africa,2014-05-05,1,None,Storm,27,0.9717668989440243
Africa,2014-01-06,0,None,Sunny,9,1.375293316093879
Africa,2014-10-06,0,None,Cold,18,1.203658562147229
Africa,2014-04-07,0,None,Sunny,9,0.5313941966631991
Africa,2014-07-07,0,None,Hot,28,1.326176888860387
Africa,2014-09-08,0,None,Rainy,29,0.89236277604211
Africa,2014-12-08,0,None,Cold,36,1.0761041918113043
Africa,2014-06-09,0,None,Rainy,19,1.4907390082378271
Africa,2014-02-10,0,None,Rainy,19,0.7037377510003898
Africa,2014-03-10,1,Christmas,Rainy,18,1.227512160566835
Africa,2014-11-10,0,None,Cold,2,1.308064007635067
Africa,2014-08-11,0,None,Hot,39,1.477129333575399
Africa,2014-05-12,0,None,Storm,0,0.5027681028124728
Oceania,2010-12-27,0,None,Sunny,18,1.3321143983207255
Oceania,2011-01-31,0,None,Storm,18,1.4436558985391383
Oceania,2011-02-28,1,Christmas,Sunny,37,1.2116282732011157
Oceania,2011-03-28,0,None,Storm,26,1.4051370302019284
Oceania,2011-04-25,0,None,Rainy,16,0.6756426215295529
Oceania,2011-05-30,0,None,Sunny,21,1.0394502150799696
Oceania,2011-06-27,0,None,Rainy,1,0.6182295478601926
Oceania,2011-08-01,0,None,Sunny,8,0.7041209871514096
Oceania,2011-08-29,0,None,Cold,24,0.6441235456430056
Oceania,2011-09-26,0,None,Cold,15,1.3770315432554268
Oceania,2011-10-31,0,None,Storm,14,0.7236673065547463
Oceania,2011-11-28,0,None,Hot,31,1.458862782226897
Oceania,1900-01-01,0,None,Storm,31,0.703087719532814
Oceania,2011-05-02,1,None,Rainy,19,1.3725777689030227
Oceania,2011-01-03,0,None,Sunny,32,1.3246714431612303
Oceania,2011-10-03,0,None,Sunny,22,1.3968260573669118
Oceania,2011-04-04,0,None,Sunny,19,1.3057869178782815
Oceania,2011-07-04,0,None,Cold,16,1.2920140485175318
Oceania,2011-09-05,0,None,Storm,38,1.2520087962065132
Oceania,2011-12-05,1,Labor Day,Storm,23,0.6833856933235352
Oceania,2011-06-06,1,None,Storm,32,0.9218117916104188
Oceania,2011-02-07,0,None,Sunny,11,0.8159509914535257
Oceania,2011-11-07,0,None,Cold,25,0.9396906000354168
Oceania,2011-03-07,0,None,Sunny,5,0.6921749285247235
Oceania,2011-08-08,0,None,Sunny,4,1.3337177187815752
Oceania,2011-05-09,0,None,Hot,8,1.4367730326024384
Oceania,2011-01-10,0,None,Sunny,32,1.1128313670298846
Oceania,2011-10-10,1,Labor Day,Storm,14,1.4448000549628839
Oceania,2011-04-11,0,None,Hot,5,0.5822674088917891
Oceania,2011-07-11,0,None,Sunny,9,0.6317016767726076
Oceania,2011-09-12,0,None,Hot,21,1.131535766756929
Oceania,2011-12-12,0,None,Cold,3,0.8353401241701592
Oceania,2012-01-30,1,None,Storm,31,0.5684607288191094
Oceania,2012-02-27,0,None,Hot,9,0.7305927014981296
Oceania,2012-03-26,1,Christmas,Hot,35,0.5138365727944667
Oceania,2012-04-30,0,None,Cold,6,1.3162644361307514
Oceania,2012-05-28,0,None,Rainy,27,0.5069586777001253
Oceania,2012-06-25,0,None,Hot,7,0.5735532897229529
Oceania,2012-07-30,0,None,Cold,35,1.3327766301411805
Oceania,2012-08-27,1,Christmas,Hot,38,0.7427946410666798
Oceania,2012-10-01,0,None,Hot,29,0.5311805275615038
Oceania,2012-10-29,0,None,Storm,9,1.0519386945679856
Oceania,2012-11-26,1,Labor Day,Cold,2,0.757180346218325
Oceania,2012-01-02,1,None,Cold,10,1.3499021504173836
Oceania,2012-04-02,0,None,Cold,8,1.376426005567114
Oceania,2012-07-02,0,None,Hot,7,1.3069342767556758
Oceania,2012-09-03,0,None,Storm,6,0.6821600943506533
Oceania,2012-12-03,1,Christmas,Storm,38,1.3852417259090042
Oceania,2012-06-04,1,Independence Day,Rainy,17,1.2157333043322804
Oceania,2012-03-05,0,None,Cold,15,0.5402725518419668
Oceania,2012-11-05,0,None,Rainy,16,1.1032848282619505
Oceania,2012-02-06,1,Independence Day,Hot,10,1.1117334936358554
Oceania,2012-08-06,1,Labor Day,Storm,24,1.444155394620981
Oceania,2012-05-07,0,None,Storm,25,1.1133193217586879
Oceania,2012-10-08,1,Independence Day,Storm,2,0.5142073231807545
Oceania,2012-01-09,0,None,Hot,16,0.5345478654222667
Oceania,2012-04-09,0,None,Cold,13,0.9209313185676146
Oceania,2012-07-09,0,None,Hot,16,0.6328240649724465
Oceania,2012-09-10,0,None,Hot,30,0.7865508022061561
Oceania,2012-12-10,0,None,Sunny,10,1.0159039096813158
Oceania,2012-06-11,1,Labor Day,Hot,35,1.0429843339388567
Oceania,2012-03-12,0,None,Hot,10,1.3690995716070344
Oceania,2012-11-12,0,None,Cold,24,0.8650543933880165
Oceania,2012-12-31,0,None,Hot,20,1.275692003024856
Oceania,2013-01-28,0,None,Sunny,35,1.4570576068946544
Oceania,2013-02-25,0,None,Cold,37,0.6596942113056862
Oceania,2013-04-01,0,None,Sunny,11,0.8117715676362223
Oceania,2013-04-29,0,None,Sunny,27,1.0350717208455489
Oceania,2013-05-27,0,None,Storm,32,1.3820127373166948
Oceania,2013-07-01,0,None,Rainy,9,1.280510770591078
Oceania,2013-07-29,0,None,Storm,33,1.0996295648868144
Oceania,2013-08-26,0,None,Sunny,34,0.5709766466318387
Oceania,2013-09-30,0,None,Hot,17,0.98169301275012
Oceania,2013-10-28,1,None,Cold,29,1.301623032082694
Oceania,2013-11-25,0,None,Sunny,15,0.6286794075555004
Oceania,2013-09-02,1,Labor Day,Cold,31,0.9363037386674409
Oceania,2013-12-02,0,None,Hot,1,0.5042160976935148
Oceania,2013-06-03,0,None,Rainy,3,0.6248459356831119
Oceania,2013-02-04,1,Independence Day,Hot,1,0.7703494145110796
Oceania,2013-03-04,1,Independence Day,Rainy,21,0.8545087271491412
Oceania,2013-11-04,0,None,Hot,38,0.6286853459823205
Oceania,2013-08-05,0,None,Cold,11,1.208163386457888
Oceania,2013-05-06,0,None,Storm,11,0.9814385504142207
Oceania,2013-01-07,0,None,Sunny,32,1.287795991182887
Oceania,2013-10-07,1,None,Cold,7,1.1388934894169545
Oceania,2013-04-08,0,None,Storm,28,1.1268559561944524
Oceania,2013-07-08,0,None,Hot,16,1.0179874222297527
Oceania,2013-09-09,1,None,Sunny,9,1.330442648079785
Oceania,2013-12-09,0,None,Hot,9,0.9272949518714827
Oceania,2013-06-10,0,None,Sunny,26,1.3355002841748917
Oceania,2013-02-11,0,None,Hot,16,1.0192694593559408
Oceania,2013-11-11,0,None,Cold,14,0.7483607595037586
Oceania,2013-03-11,0,None,Storm,17,0.713832553840642
Oceania,2013-08-12,0,None,Cold,12,1.1771453920643093
Oceania,2013-12-30,0,None,Sunny,38,1.255801059891421
Oceania,2014-01-27,0,None,Sunny,15,0.6724660670734203
Oceania,2014-02-24,1,Christmas,Storm,17,1.2999198460285182
Oceania,2014-03-31,0,None,Hot,9,1.0672544498965044
Oceania,2014-04-28,0,None,Sunny,35,0.9369946064355446
Oceania,2014-05-26,0,None,Hot,27,1.4982232081270022
Oceania,2014-06-30,0,None,Sunny,39,1.135394679352414
Oceania,2014-07-28,0,None,Rainy,16,0.7103075865358982
Oceania,2014-09-01,0,None,Rainy,15,0.9969998734817326
Oceania,2014-09-29,0,None,Rainy,39,0.9644846239721082
Oceania,2014-10-27,0,None,Storm,29,1.4678756229546388
Oceania,2014-12-01,0,None,Sunny,5,1.424332409690643
Oceania,2014-06-02,0,None,Cold,29,0.9514100199893494
Oceania,2014-02-03,0,None,Storm,6,0.8097963161435131
Oceania,2014-03-03,1,Christmas,Hot,14,0.654481557862203
Oceania,2014-11-03,0,None,Storm,1,1.0039228611763917
Oceania,2014-08-04,0,None,Hot,26,1.312610569990352
Oceania,2014-05-05,0,None,Cold,31,0.766103885711487
Oceania,2014-01-06,1,Independence Day,Sunny,25,0.70931510735586
Oceania,2014-10-06,0,None,Rainy,14,0.7451222842630758
Oceania,2014-04-07,0,None,Rainy,22,1.4593012963599123
Oceania,2014-07-07,0,None,Hot,21,0.5746020492835752
Oceania,2014-09-08,0,None,Storm,8,0.5309309468263168
Oceania,2014-12-08,0,None,Hot,34,0.8891686715132926
Oceania,2014-06-09,0,None,Storm,0,0.8062345647820472
Oceania,2014-02-10,0,None,Rainy,2,0.7795446428055245
Oceania,2014-03-10,0,None,Sunny,18,1.007500919601045
Oceania,2014-11-10,0,None,Cold,3,0.8750812373672732
Oceania,2014-08-11,0,None,Storm,17,1.030485222942835
Oceania,2014-05-12,1,None,Storm,10,0.8113883113923472
EMEA,2010-12-27,0,None,Storm,3,0.9841075288092792
EMEA,2011-01-31,0,None,Hot,12,1.276716806558912
EMEA,2011-02-28,0,None,Rainy,35,0.5712538616687709
EMEA,2011-03-28,0,None,Hot,23,0.9665993090632211
EMEA,2011-04-25,1,Christmas,Cold,39,1.4000394017498707
EMEA,2011-05-30,0,None,Cold,8,1.073727814888779
EMEA,2011-06-27,0,None,Sunny,17,1.026060976236225
EMEA,2011-08-01,0,None,Sunny,19,0.9388821458230244
EMEA,2011-08-29,0,None,Rainy,19,0.6069702565683928
EMEA,2011-09-26,0,None,Storm,10,1.2952875843661282
EMEA,2011-10-31,0,None,Cold,28,1.236979590849654
EMEA,2011-11-28,0,None,Sunny,36,1.2358396292578584
EMEA,1900-01-01,1,Independence Day,Cold,23,1.3933942973583533
EMEA,2011-05-02,0,None,Sunny,13,1.0030971069976218
EMEA,2011-01-03,0,None,Cold,11,1.0144109660595744
EMEA,2011-10-03,0,None,Rainy,6,0.6630522310363222
EMEA,2011-04-04,0,None,Hot,26,0.897373375868732
EMEA,2011-07-04,0,None,Sunny,29,1.0558847328867973
EMEA,2011-09-05,0,None,Cold,0,0.519644743333155
EMEA,2011-12-05,0,None,Sunny,31,0.5751663047690967
EMEA,2011-06-06,0,None,Sunny,4,1.3487089339020382
EMEA,2011-02-07,0,None,Cold,8,1.230582624028227
EMEA,2011-11-07,0,None,Rainy,9,1.1328516439093022
EMEA,2011-03-07,0,None,Sunny,24,1.400494866109794
EMEA,2011-08-08,0,None,Hot,35,1.4438112159542391
EMEA,2011-05-09,0,None,Storm,5,1.0673419125434536
EMEA,2011-01-10,0,None,Cold,31,1.0506437702180609
EMEA,2011-10-10,1,Labor Day,Hot,2,0.9445396614479882
EMEA,2011-04-11,0,None,Sunny,26,1.2528639716967964
EMEA,2011-07-11,1,Labor Day,Hot,27,0.6079997914392072
EMEA,2011-09-12,0,None,Sunny,25,1.353909250602772
EMEA,2011-12-12,0,None,Storm,13,1.3349044146821236
EMEA,2012-01-30,0,None,Cold,23,1.1433846481105623
EMEA,2012-02-27,0,None,Hot,33,0.8001380733516958
EMEA,2012-03-26,0,None,Rainy,36,0.8241801707970969
EMEA,2012-04-30,1,None,Storm,14,1.2912524382968766
EMEA,2012-05-28,0,None,Sunny,31,0.9753649403991304
EMEA,2012-06-25,0,None,Cold,19,0.7728825251838047
EMEA,2012-07-30,0,None,Rainy,3,0.6277389255864295
EMEA,2012-08-27,0,None,Storm,17,1.15265356166161
EMEA,2012-10-01,1,Independence Day,Sunny,1,0.7934727188341351
EMEA,2012-10-29,0,None,Cold,17,0.8047085761205496
EMEA,2012-11-26,0,None,Cold,20,1.228316441788782
EMEA,2012-01-02,1,None,Cold,39,0.9343423352369675
EMEA,2012-04-02,0,None,Sunny,21,0.8447441891395032
EMEA,2012-07-02,0,None,Hot,14,0.9089463704348385
EMEA,2012-09-03,0,None,Rainy,11,1.47296862916986
EMEA,2012-12-03,0,None,Sunny,17,1.2781172247206802
EMEA,2012-06-04,0,None,Cold,7,1.4193841704149381
EMEA,2012-03-05,0,None,Sunny,22,0.6105355028939954
EMEA,2012-11-05,0,None,Sunny,28,0.6710552654324379
EMEA,2012-02-06,0,None,Hot,31,0.7151651409601353
EMEA,2012-08-06,0,None,Cold,17,1.443067767318405
EMEA,2012-05-07,0,None,Sunny,37,0.8340451413515482
EMEA,2012-10-08,0,None,Cold,29,1.342425862791527
EMEA,2012-01-09,0,None,Cold,18,1.3280803029145587
EMEA,2012-04-09,0,None,Sunny,10,0.9026378780486777
EMEA,2012-07-09,1,Christmas,Cold,27,1.43715421756034
EMEA,2012-09-10,1,Christmas,Sunny,11,1.1130795163380447
EMEA,2012-12-10,0,None,Cold,15,1.238949436636145
EMEA,2012-06-11,0,None,Rainy,5,0.5058456784135852
EMEA,2012-03-12,0,None,Storm,6,0.7409532808663174
EMEA,2012-11-12,1,Labor Day,Rainy,35,0.7448135302385896
EMEA,2012-12-31,0,None,Hot,24,1.1447482291534317
EMEA,2013-01-28,0,None,Rainy,11,0.5649623274252007
EMEA,2013-02-25,1,Christmas,Sunny,31,1.3640886992809993
EMEA,2013-04-01,0,None,Hot,18,0.7737951408960616
EMEA,2013-04-29,0,None,Cold,14,1.2617770709653087
EMEA,2013-05-27,1,Independence Day,Rainy,35,0.5248008625158728
EMEA,2013-07-01,0,None,Hot,35,1.4037557020937377
EMEA,2013-07-29,0,None,Storm,23,0.9914076919770375
EMEA,2013-08-26,0,None,Sunny,3,1.491353254601307
EMEA,2013-09-30,0,None,Hot,34,1.453713438279831
EMEA,2013-10-28,1,Independence Day,Cold,4,0.7021076386637158
EMEA,2013-11-25,0,None,Storm,24,0.9966147249803867
EMEA,2013-09-02,1,Christmas,Storm,33,0.767602628425785
EMEA,2013-12-02,0,None,Sunny,19,0.5915297753342633
EMEA,2013-06-03,0,None,Sunny,7,0.5307373591074821
EMEA,2013-02-04,0,None,Rainy,37,1.1537845472858295
EMEA,2013-03-04,1,Christmas,Sunny,39,1.2848627482423454
EMEA,2013-11-04,1,None,Sunny,7,1.3559738500177478
EMEA,2013-08-05,1,Christmas,Sunny,11,0.8053173268707967
EMEA,2013-05-06,0,None,Hot,28,0.8761350937683102
EMEA,2013-01-07,0,None,Hot,3,0.9608405025990954
EMEA,2013-10-07,0,None,Hot,11,0.702808775025441
EMEA,2013-04-08,0,None,Hot,17,1.2061766258440954
EMEA,2013-07-08,0,None,Hot,38,0.5677540937992495
EMEA,2013-09-09,1,Independence Day,Hot,23,1.0269188329341965
EMEA,2013-12-09,0,None,Hot,35,1.0128790223152675
EMEA,2013-06-10,0,None,Rainy,25,1.4395848247673095
EMEA,2013-02-11,0,None,Hot,10,0.9024995794911334
EMEA,2013-11-11,0,None,Storm,4,0.5768027386332228
EMEA,2013-03-11,0,None,Rainy,24,0.5909528476515001
EMEA,2013-08-12,0,None,Storm,28,0.6117889644082813
EMEA,2013-12-30,0,None,Storm,31,0.5062755037091534
EMEA,2014-01-27,1,Labor Day,Rainy,33,0.9379979007604056
EMEA,2014-02-24,0,None,Storm,6,0.6389262624208021
EMEA,2014-03-31,0,None,Cold,27,1.4389315581993913
EMEA,2014-04-28,1,Labor Day,Storm,16,0.9101024416110715
EMEA,2014-05-26,0,None,Hot,24,0.7983065895923525
EMEA,2014-06-30,0,None,Cold,31,1.0743197912202502
EMEA,2014-07-28,0,None,Sunny,5,1.1095374507995084
EMEA,2014-09-01,1,Christmas,Hot,33,1.2348078192981005
EMEA,2014-09-29,1,Christmas,Rainy,26,0.7379457512156219
EMEA,2014-10-27,1,Christmas,Cold,9,1.3762983141146874
EMEA,2014-12-01,1,Christmas,Rainy,39,1.4726688425060392
EMEA,2014-06-02,0,None,Storm,33,0.7018001098930536
EMEA,2014-02-03,0,None,Rainy,7,0.95392998045844
EMEA,2014-03-03,1,Christmas,Rainy,15,0.960314152951202
EMEA,2014-11-03,0,None,Cold,6,1.172481453276193
EMEA,2014-08-04,0,None,Storm,34,0.6321585455924963
EMEA,2014-05-05,0,None,Rainy,38,1.4234030364297054
EMEA,2014-01-06,0,None,Sunny,25,0.9312967064500839
EMEA,2014-10-06,0,None,Hot,7,1.3219527713844832
EMEA,2014-04-07,0,None,Rainy,28,0.6791643015259998
EMEA,2014-07-07,0,None,Rainy,7,0.8480651693970304
EMEA,2014-09-08,1,Christmas,Hot,22,1.299354904689964
EMEA,2014-12-08,0,None,Sunny,27,1.3912872599341153
EMEA,2014-06-09,1,Independence Day,Cold,31,0.7039287483697605
EMEA,2014-02-10,0,None,Sunny,8,0.7250117027326626
EMEA,2014-03-10,0,None,Hot,17,1.0897342689981637
EMEA,2014-11-10,0,None,Storm,27,0.9625134662168993
EMEA,2014-08-11,0,None,Storm,15,0.9092385770913083
EMEA,2014-05-12,1,Labor Day,Rainy,3,0.9073108924978732
North,2010-12-27,1,Labor Day,Sunny,21,0.9778665709504215
North,2011-01-31,1,None,Sunny,16,1.3335958324102284
North,2011-02-28,1,None,Rainy,1,1.3666366339987388
North,2011-03-28,0,None,Rainy,3,0.5633550734182667
North,2011-04-25,0,None,Cold,32,1.3057596088961156
North,2011-05-30,0,None,Cold,31,1.2871349990326668
North,2011-06-27,0,None,Storm,31,1.4308505754525072
North,2011-08-01,0,None,Cold,25,0.9670094848070344
North,2011-08-29,0,None,Storm,11,1.4879118112922973
North,2011-09-26,0,None,Storm,12,1.2539413685695668
North,2011-10-31,0,None,Sunny,33,1.040675576927164
North,2011-11-28,0,None,Sunny,29,0.7143369428382753
North,1900-01-01,0,None,Rainy,12,0.7902340031330641
North,2011-05-02,0,None,Cold,15,1.2423638857381714
North,2011-01-03,0,None,Cold,37,1.2299347727734804
North,2011-10-03,0,None,Storm,21,1.1229066498884133
North,2011-04-04,0,None,Storm,6,0.8611721512252982
North,2011-07-04,1,None,Storm,34,0.7691869908445016
North,2011-09-05,1,Independence Day,Hot,9,1.2331046965956922
North,2011-12-05,1,Christmas,Hot,16,0.5341831335468592
North,2011-06-06,0,None,Sunny,30,1.447944644115105
North,2011-02-07,0,None,Storm,19,0.8605480860843576
North,2011-11-07,0,None,Cold,25,0.9259851794992315
North,2011-03-07,1,None,Storm,2,0.9803379636382066
North,2011-08-08,1,None,Rainy,29,1.3635303063689372
North,2011-05-09,0,None,Rainy,29,1.2542956455908434
North,2011-01-10,0,None,Cold,10,0.9938250708387992
North,2011-10-10,0,None,Rainy,21,1.348006476626966
North,2011-04-11,0,None,Sunny,1,1.1318338234931746
North,2011-07-11,0,None,Hot,23,1.0095950105042384
North,2011-09-12,1,None,Hot,16,0.6699158729738038
North,2011-12-12,0,None,Sunny,15,0.9180056605157293
North,2012-01-30,0,None,Hot,27,0.8302383830053579
North,2012-02-27,1,None,Hot,6,0.8982318970688126
North,2012-03-26,0,None,Cold,24,1.2783162481880592
North,2012-04-30,0,None,Cold,2,0.7410652616151074
North,2012-05-28,0,None,Sunny,0,0.7456876970695555
North,2012-06-25,1,Independence Day,Storm,0,0.5818102588374979
North,2012-07-30,1,None,Sunny,34,0.8128487435346189
North,2012-08-27,0,None,Rainy,38,0.9513122455220309
North,2012-10-01,0,None,Rainy,17,1.05130292350341
North,2012-10-29,0,None,Hot,36,0.7633582662085627
North,2012-11-26,0,None,Sunny,23,1.36847631444473
North,2012-01-02,1,Christmas,Rainy,5,1.2399436148571787
North,2012-04-02,0,None,Hot,16,1.4126842642572366
North,2012-07-02,0,None,Storm,18,0.6628898882489521
North,2012-09-03,0,None,Hot,15,1.1088419910644831
North,2012-12-03,0,None,Hot,30,1.0629477433511143
North,2012-06-04,0,None,Cold,36,1.0555558678587191
North,2012-03-05,0,None,Hot,4,0.8197656786064517
North,2012-11-05,0,None,Rainy,16,1.036155257052546
North,2012-02-06,1,Christmas,Cold,32,1.2746276014913493
North,2012-08-06,0,None,Hot,12,0.7828607025191605
North,2012-05-07,0,None,Cold,23,0.8148545513158761
North,2012-10-08,1,None,Storm,14,0.8678721307088965
North,2012-01-09,0,None,Cold,0,1.2916384540675296
North,2012-04-09,0,None,Rainy,22,1.469636457257775
North,2012-07-09,1,None,Rainy,20,0.9673759238875995
North,2012-09-10,1,Independence Day,Storm,7,1.0571570321789583
North,2012-12-10,0,None,Rainy,9,1.361717797909209
North,2012-06-11,1,None,Cold,12,1.2484468426181339
North,2012-03-12,0,None,Cold,12,1.463100780848415
North,2012-11-12,0,None,Rainy,18,1.1988732842651157
North,2012-12-31,0,None,Cold,15,1.200817772853794
North,2013-01-28,0,None,Rainy,25,0.658918114138646
North,2013-02-25,1,Independence Day,Hot,11,1.373171418823965
North,2013-04-01,0,None,Cold,28,0.8789207564728091
North,2013-04-29,0,None,Sunny,25,0.6367316672034024
North,2013-05-27,0,None,Sunny,31,0.7170556758707343
North,2013-07-01,0,None,Sunny,26,0.9797350158958416
North,2013-07-29,0,None,Cold,2,1.1617315127452286
North,2013-08-26,0,None,Cold,8,0.5524434689307307
North,2013-09-30,1,None,Sunny,7,1.4280690700914502
North,2013-10-28,0,None,Storm,27,0.9035891797223564
North,2013-11-25,0,None,Storm,21,1.3745614906669141
North,2013-09-02,0,None,Cold,28,0.9972992208384371
North,2013-12-02,1,Christmas,Hot,18,1.3267263008318886
North,2013-06-03,0,None,Cold,27,1.3094599801314817
